Date,Lon,Lat,Temperature
03/03/1991,-11.0333,49.04,10.77
04/03/1991,-6.715,49.5583,9.27
04/03/1991,-6.2867,49.595,9.48
04/03/1991,-5.9733,49.6167,9.37
04/03/1991,-5.9933,49.795,9.05
04/03/1991,-5.6583,49.8333,9.16
04/03/1991,-5.38,49.8033,9.01
21/02/1992,-6.0992,53.4577,6.9
21/02/1992,-6.08,53.4803,7.6
21/02/1992,-6.0755,53.4905,7.7
21/02/1992,-6.071,53.5002,7.7
21/02/1992,-6.0643,53.5157,7.6
21/02/1992,-6.0557,53.5628,7.2
21/02/1992,-6.0672,53.5972,7.4
21/02/1992,-6.1705,53.6677,7.2
21/02/1992,-6.195,53.6913,7.0
21/02/1992,-6.2052,53.7038,6.9
21/02/1992,-6.2172,53.7167,7.2
21/02/1992,-6.2232,53.7273,7.2
21/02/1992,-6.2233,53.7313,7.2
21/02/1992,-6.2197,53.7472,7.4
21/02/1992,-6.2093,53.7725,7.2
21/02/1992,-6.2012,53.8008,7.5
21/02/1992,-6.1873,53.8492,7.5
21/02/1992,-6.1773,53.8968,7.4
21/02/1992,-6.2218,53.9247,6.8
21/02/1992,-6.2477,53.9398,6.8
21/02/1992,-6.2782,53.9587,6.2
21/02/1992,-6.2845,53.9653,6.6
21/02/1992,-6.2372,53.9378,6.8
21/02/1992,-6.1715,53.8932,7.4
21/02/1992,-6.1585,53.868,7.4
21/02/1992,-6.1347,53.8298,8.0
21/02/1992,-6.1077,53.776,7.7
21/02/1992,-6.0938,53.7472,8.4
21/02/1992,-6.0875,53.7337,8.4
21/02/1992,-6.0697,53.6947,8.1
21/02/1992,-6.0423,53.6395,7.9
21/02/1992,-6.0255,53.5877,8.2
21/02/1992,-6.0557,53.5178,8.4
21/02/1992,-6.069,53.4677,7.8
21/02/1992,-6.0687,53.4453,7.6
21/02/1992,-6.0678,53.4335,7.8
21/02/1992,-6.0627,53.4168,7.8
21/02/1992,-6.0553,53.4062,7.8
21/02/1992,-6.0475,53.4008,7.7
21/02/1992,-6.045,53.4092,7.8
21/02/1992,-6.0435,53.3865,7.7
21/02/1992,-6.0408,53.3833,7.8
21/02/1992,-6.0468,53.3648,7.8
21/02/1992,-6.0678,53.3512,7.9
21/02/1992,-6.089,53.3478,7.9
21/02/1992,-6.0958,53.3463,7.9
21/02/1992,-6.1142,53.3418,8.0
21/02/1992,-6.1313,53.343,8.0
21/02/1992,-6.143,53.33,7.9
21/02/1992,-6.1903,53.3432,7.8
21/02/1992,-6.17,53.3432,8.0
22/02/1992,-6.0498,53.338,8.0
22/02/1992,-6.0707,53.3188,8.0
22/02/1992,-6.0973,53.2957,7.9
22/02/1992,-6.085,53.2887,7.9
22/02/1992,-6.0678,53.2797,7.9
22/02/1992,-6.0673,53.264,7.8
22/02/1992,-6.0865,53.2473,7.9
22/02/1992,-6.0873,53.2388,7.9
22/02/1992,-6.0868,53.2327,8.0
22/02/1992,-6.0838,53.2178,8.0
22/02/1992,-6.0573,53.1808,8.2
22/02/1992,-6.0433,53.155,8.2
22/02/1992,-6.0147,53.119,8.2
22/02/1992,-6.0148,53.0842,8.1
22/02/1992,-6.0197,53.0462,8.1
22/02/1992,-6.0268,53.02,8.0
22/02/1992,-6.0285,53.0012,8.0
22/02/1992,-6.0192,52.986,8.0
22/02/1992,-5.9905,52.9705,8.0
22/02/1992,-5.9765,52.9577,8.1
22/02/1992,-5.994,52.923,8.4
22/02/1992,-6.0093,52.896,8.3
22/02/1992,-6.051,52.847,7.8
22/02/1992,-6.0865,52.8223,7.7
22/02/1992,-6.1077,52.8,7.6
22/02/1992,-6.125,52.7978,7.6
22/02/1992,-6.135,52.7945,7.6
06/06/1993,-5.45,53.6833,12.57
07/06/1993,-6.1355,52.0162,10.82
07/06/1993,-6.8925,51.9977,13.45
08/06/1993,-6.9865,52.2712,13.46
21/02/2007,-9.3748,51.4838,8.4
21/02/2007,-9.3748,51.4838,8.69
26/06/2007,-9.3748,51.4838,14.94
26/06/2007,-9.3748,51.4838,14.67
14/08/2007,-9.3748,51.4838,14.43
14/08/2007,-9.3748,51.4838,14.69
18/09/2007,-9.3748,51.4838,15.13
18/09/2007,-9.3748,51.4838,15.24
21/02/2007,-9.4075,51.4975,8.67
26/06/2007,-9.4075,51.4975,14.71
26/06/2007,-9.4075,51.4975,14.44
14/08/2007,-9.4075,51.4975,14.34
14/08/2007,-9.4075,51.4975,15.05
18/09/2007,-9.4075,51.4975,15.07
18/09/2007,-9.4075,51.4975,15.2
21/02/2007,-9.3527,51.5065,8.59
21/02/2007,-9.3775,51.5108,8.72
26/06/2007,-9.3775,51.5108,15.73
26/06/2007,-9.3775,51.5108,14.69
14/08/2007,-9.3775,51.5108,14.86
14/08/2007,-9.3775,51.5108,14.82
18/09/2007,-9.3775,51.5108,15.22
18/09/2007,-9.3775,51.5108,15.39
21/02/2007,-9.3422,51.5203,8.12
21/02/2007,-9.3422,51.5203,9.3
21/02/2007,-9.3682,51.5275,8.1
26/06/2007,-9.3682,51.5275,16.08
26/06/2007,-9.3682,51.5275,15.39
14/08/2007,-9.3682,51.5275,15.49
14/08/2007,-9.3682,51.5275,16.02
18/09/2007,-9.3682,51.5275,14.87
18/09/2007,-9.3682,51.5275,15.46
21/02/2007,-9.2982,51.5495,7.29
21/02/2007,-9.2982,51.5495,7.82
26/06/2007,-9.2982,51.5495,15.31
26/06/2007,-9.2982,51.5495,16.64
14/08/2007,-9.2982,51.5495,15.04
14/08/2007,-9.2982,51.5495,15.25
18/09/2007,-9.2982,51.5495,14.4
18/09/2007,-9.2982,51.5495,14.65
21/02/2007,-9.3192,51.535,7.56
21/02/2007,-9.3192,51.535,8.02
26/06/2007,-9.3192,51.535,15.7
26/06/2007,-9.3192,51.535,16.69
14/08/2007,-9.3192,51.535,15.85
14/08/2007,-9.3192,51.535,15.58
18/09/2007,-9.3192,51.535,15.07
18/09/2007,-9.3192,51.535,16.0
21/02/2007,-9.2857,51.552,7.06
21/02/2007,-9.2857,51.552,7.59
14/08/2007,-9.2857,51.552,14.71
14/08/2007,-9.2857,51.552,16.84
18/09/2007,-9.2857,51.552,14.1
18/09/2007,-9.2857,51.552,15.3
22/02/2007,-8.768,51.633,9.61
25/06/2007,-8.768,51.633,13.3
13/08/2007,-8.768,51.633,14.11
17/09/2007,-8.768,51.633,12.87
22/02/2007,-8.6938,51.6458,9.05
22/02/2007,-8.6963,51.6357,9.09
22/02/2007,-8.6963,51.6357,10.16
25/06/2007,-8.6963,51.6357,16.34
25/06/2007,-8.6963,51.6357,15.62
13/08/2007,-8.6963,51.6357,14.97
13/08/2007,-8.6963,51.6357,16.69
17/09/2007,-8.6963,51.6357,14.97
22/02/2007,-8.7163,51.6397,8.8
22/02/2007,-8.7102,51.6355,8.94
22/02/2007,-8.7163,51.6397,9.94
22/02/2007,-8.7102,51.6355,9.91
25/06/2007,-8.7163,51.6397,15.66
25/06/2007,-8.7102,51.6355,15.62
25/06/2007,-8.7102,51.6355,15.91
25/06/2007,-8.7163,51.6397,15.55
13/08/2007,-8.7163,51.6397,15.09
13/08/2007,-8.7102,51.6355,15.11
13/08/2007,-8.7163,51.6397,16.51
13/08/2007,-8.7102,51.6355,16.06
17/09/2007,-8.7163,51.6397,15.1
17/09/2007,-8.7102,51.6355,14.74
17/09/2007,-8.7163,51.6397,15.14
17/09/2007,-8.7102,51.6355,15.83
22/02/2007,-8.7368,51.6382,9.25
25/06/2007,-8.7368,51.6382,15.89
13/08/2007,-8.7368,51.6382,14.9
17/09/2007,-8.7368,51.6382,15.32
22/02/2007,-8.7628,51.6445,8.8
22/02/2007,-8.7627,51.6417,8.79
22/02/2007,-8.7518,51.6453,9.01
22/02/2007,-8.7518,51.6453,10.53
22/02/2007,-8.7628,51.6445,9.64
22/02/2007,-8.7627,51.6417,10.79
25/06/2007,-8.7627,51.6417,15.03
25/06/2007,-8.7628,51.6445,14.48
25/06/2007,-8.7518,51.6453,16.44
25/06/2007,-8.7627,51.6417,16.44
25/06/2007,-8.7628,51.6445,15.95
13/08/2007,-8.7628,51.6445,14.32
13/08/2007,-8.7627,51.6417,14.52
13/08/2007,-8.7518,51.6453,14.83
13/08/2007,-8.7628,51.6445,15.4
13/08/2007,-8.7518,51.6453,16.17
13/08/2007,-8.7627,51.6417,16.62
17/09/2007,-8.7628,51.6445,14.9
17/09/2007,-8.7627,51.6417,15.28
17/09/2007,-8.7518,51.6453,15.39
17/09/2007,-8.7628,51.6445,15.58
17/09/2007,-8.7627,51.6417,16.3
12/07/2007,-8.5113,51.6665,13.13
22/08/2007,-8.5113,51.6665,14.55
01/03/2007,-8.5082,51.6737,9.33
12/07/2007,-8.5082,51.6737,13.41
22/08/2007,-8.5082,51.6737,14.74
01/03/2007,-8.5012,51.6913,9.45
14/06/2007,-8.5012,51.6913,16.49
22/08/2007,-8.5012,51.6913,14.44
01/03/2007,-8.5322,51.6928,8.87
12/07/2007,-8.5322,51.6928,15.57
22/08/2007,-8.5322,51.6928,14.46
01/03/2007,-8.5803,51.6955,8.85
14/06/2007,-8.5803,51.6955,17.99
12/07/2007,-8.5803,51.6955,16.07
22/08/2007,-8.5803,51.6955,14.8
01/03/2007,-8.5142,51.7023,9.06
14/06/2007,-8.5142,51.7023,17.32
12/07/2007,-8.5142,51.7023,13.96
22/08/2007,-8.5142,51.7023,15.66
01/03/2007,-8.5518,51.7017,8.79
14/06/2007,-8.5518,51.7017,17.08
12/07/2007,-8.5518,51.7017,15.25
22/08/2007,-8.5518,51.7017,14.45
01/03/2007,-8.6008,51.7068,8.51
14/06/2007,-8.6008,51.7068,18.54
12/07/2007,-8.6008,51.7068,17.29
22/08/2007,-8.6008,51.7068,14.89
01/03/2007,-8.6128,51.723,8.09
14/06/2007,-8.6128,51.723,18.68
12/07/2007,-8.6128,51.723,16.92
22/08/2007,-8.6128,51.723,15.17
01/03/2007,-8.6297,51.729,8.04
14/06/2007,-8.6297,51.729,18.74
12/07/2007,-8.6297,51.729,17.83
22/08/2007,-8.6297,51.729,15.46
01/03/2007,-8.632,51.7458,8.18
14/06/2007,-8.632,51.7458,18.55
12/07/2007,-8.632,51.7458,17.96
22/08/2007,-8.632,51.7458,15.46
01/03/2007,-8.6345,51.7372,8.08
14/06/2007,-8.6345,51.7372,18.71
12/07/2007,-8.6345,51.7372,17.88
22/08/2007,-8.6345,51.7372,15.42
14/06/2007,-8.64,51.753,18.59
12/07/2007,-8.64,51.753,17.73
22/08/2007,-8.64,51.753,15.52
20/02/2007,-9.7805,51.7628,7.91
20/02/2007,-9.7805,51.7628,8.02
27/06/2007,-9.7805,51.7628,14.98
27/06/2007,-9.7805,51.7628,15.82
15/08/2007,-9.7805,51.7628,16.35
19/09/2007,-9.7805,51.7628,15.7
19/09/2007,-9.7805,51.7628,15.6
20/02/2007,-9.8177,51.7645,8.69
20/02/2007,-9.8177,51.7645,9.44
27/06/2007,-9.8177,51.7645,15.18
27/06/2007,-9.8177,51.7645,15.28
