Date,Lon,Lat,Temperature
21/02/1992,-6.2,53.69,7
21/02/1992,-6.21,53.7,6.9
21/02/1992,-6.22,53.72,7.2
21/02/1992,-6.22,53.73,7.2
21/02/1992,-6.22,53.73,7.2
21/02/1992,-6.22,53.75,7.4
21/02/1992,-6.21,53.77,7.2
21/02/1992,-6.2,53.8,7.5
21/02/1992,-6.19,53.85,7.5
21/02/1992,-6.18,53.9,7.4
21/02/1992,-6.22,53.92,6.8
21/02/1992,-6.25,53.94,6.8
21/02/1992,-6.28,53.96,6.2
21/02/1992,-6.28,53.97,6.6
21/02/1992,-6.24,53.94,6.8
21/02/1992,-6.17,53.89,7.4
21/02/1992,-6.16,53.87,7.4
21/02/1992,-6.13,53.83,8
21/02/1992,-6.11,53.78,7.7
21/02/1992,-6.09,53.75,8.4
21/02/1992,-6.09,53.73,8.4
21/02/1992,-6.07,53.69,8.1
21/02/1992,-6.04,53.64,7.9
21/02/1992,-6.03,53.59,8.2
21/02/1992,-6.06,53.52,8.4
21/02/1992,-6.07,53.47,7.8
21/02/1992,-6.07,53.45,7.6
21/02/1992,-6.07,53.43,7.8
21/02/1992,-6.06,53.42,7.8
21/02/1992,-6.06,53.41,7.8
21/02/1992,-6.05,53.4,7.7
21/02/1992,-6.04,53.41,7.8
21/02/1992,-6.04,53.39,7.7
21/02/1992,-6.04,53.38,7.8
21/02/1992,-6.05,53.36,7.8
21/02/1992,-6.07,53.35,7.9
21/02/1992,-6.09,53.35,7.9
21/02/1992,-6.1,53.35,7.9
21/02/1992,-6.11,53.34,8
21/02/1992,-6.13,53.34,8
21/02/1992,-6.14,53.33,7.9
21/02/1992,-6.19,53.34,7.8
21/02/1992,-6.17,53.34,8
22/02/1992,-6.05,53.34,8
22/02/1992,-6.07,53.32,8
22/02/1992,-6.1,53.3,7.9
22/02/1992,-6.08,53.29,7.9
22/02/1992,-6.07,53.28,7.9
22/02/1992,-6.07,53.26,7.8
22/02/1992,-6.09,53.25,7.9
22/02/1992,-6.09,53.24,7.9
22/02/1992,-6.09,53.23,8
22/02/1992,-6.08,53.22,8
22/02/1992,-6.06,53.18,8.2
22/02/1992,-6.04,53.16,8.2
22/02/1992,-6.01,53.12,8.2
22/02/1992,-6.01,53.08,8.1
22/02/1992,-6.02,53.05,8.1
22/02/1992,-6.03,53.02,8
22/02/1992,-6.03,53,8
22/02/1992,-6.02,52.99,8
22/02/1992,-5.99,52.97,8
