Date,Longitude [degrees_east],Latitude [degrees_north],Temperature [degC]
1991-02-28,-11.0067,51.925,10.06
1991-02-28,-10.865,51.9267,9.72
1991-02-28,-10.9717,51.7283,10.25
1991-02-28,-11.1967,51.54,10.39
1991-01-03,-11.48,51.4333,10.38
1991-01-03,-11.2483,50.865,10.52
1991-01-03,-11.1533,50.8533,10.48
1991-01-03,-11.0067,50.685,10.52
1991-01-03,-10.8783,50.6667,10.51
1991-01-03,-10.8633,50.3917,10.54
1991-01-03,-10.9217,50.3518,10.6
1991-02-03,-11.3,49.54,10.9
1991-02-03,-11.2617,49.5383,10.89
1991-02-03,-11.1933,49.5467,10.83
1991-02-03,-11.1833,49.2783,10.68
1991-02-03,-10.7517,49.2333,10.7
1991-02-03,-10.3,49.4467,10.0
1991-03-03,-11.21,49.05,11.07
1991-03-03,-11.1867,49.1417,10.7
1991-03-03,-11.0333,49.04,10.77
1991-04-03,-6.715,49.5583,9.27
1991-04-03,-6.2867,49.595,9.48
1991-04-03,-5.9733,49.6167,9.37
1991-04-03,-5.9933,49.795,9.05
1991-04-03,-5.6583,49.8333,9.16
1991-04-03,-5.38,49.8033,9.01
1992-02-21,-6.0992,53.4577,6.9
1992-02-21,-6.08,53.4803,7.6
1992-02-21,-6.0755,53.4905,7.7
1992-02-21,-6.071,53.5002,7.7
1992-02-21,-6.0643,53.5157,7.6
1992-02-21,-6.0557,53.5628,7.2
1992-02-21,-6.0672,53.5972,7.4
1992-02-21,-6.1705,53.6677,7.2
1992-02-21,-6.195,53.6913,7.0
1992-02-21,-6.2052,53.7038,6.9
1992-02-21,-6.2172,53.7167,7.2
1992-02-21,-6.2232,53.7273,7.2
1992-02-21,-6.2233,53.7313,7.2
1992-02-21,-6.2197,53.7472,7.4
1992-02-21,-6.2093,53.7725,7.2
1992-02-21,-6.2012,53.8008,7.5
1992-02-21,-6.1873,53.8492,7.5
1992-02-21,-6.1773,53.8968,7.4
1992-02-21,-6.2218,53.9247,6.8
1992-02-21,-6.2477,53.9398,6.8
1992-02-21,-6.2782,53.9587,6.2
1992-02-21,-6.2845,53.9653,6.6
1992-02-21,-6.2372,53.9378,6.8
1992-02-21,-6.1715,53.8932,7.4
1992-02-21,-6.1585,53.868,7.4
1992-02-21,-6.1347,53.8298,8.0
1992-02-21,-6.1077,53.776,7.7
1992-02-21,-6.0938,53.7472,8.4
1992-02-21,-6.0875,53.7337,8.4
